,unique_id,cuisine,district
170,way/252748991,american;burger;regional;steak_house,"3rd District, Budapest, Hungary"
171,way/284403489,burger,"3rd District, Budapest, Hungary"
172,way/288808278,regional,"3rd District, Budapest, Hungary"
173,way/288808282,regional,"3rd District, Budapest, Hungary"
174,way/303944304,burger,"3rd District, Budapest, Hungary"
175,way/331333842,burger;pizza,"3rd District, Budapest, Hungary"
176,way/334683918,burger;kebab;turkish,"3rd District, Budapest, Hungary"
177,way/340011754,,"3rd District, Budapest, Hungary"
178,way/340011771,burger;international;pizza,"3rd District, Budapest, Hungary"
179,way/340011784,,"3rd District, Budapest, Hungary"
180,way/340011820,,"3rd District, Budapest, Hungary"
181,way/340011822,,"3rd District, Budapest, Hungary"
182,way/614168608,pizza,"3rd District, Budapest, Hungary"
183,way/780587919,,"3rd District, Budapest, Hungary"
184,way/871449379,kebab,"3rd District, Budapest, Hungary"
0,node/494433558,burger,"4th District, Budapest, Hungary"
1,node/1260346678,chicken,"4th District, Budapest, Hungary"
2,node/1346050356,regional,"4th District, Budapest, Hungary"
3,node/1346445820,burger,"4th District, Budapest, Hungary"
4,node/1346445831,,"4th District, Budapest, Hungary"
5,node/1376059916,,"4th District, Budapest, Hungary"
6,node/1446236539,,"4th District, Budapest, Hungary"
7,node/1493003676,,"4th District, Budapest, Hungary"
8,node/1803482108,chinese,"4th District, Budapest, Hungary"
9,node/1803487304,regional,"4th District, Budapest, Hungary"
10,node/1882011263,pizza,"4th District, Budapest, Hungary"
11,node/2030497021,chinese,"4th District, Budapest, Hungary"
12,node/2303494733,,"4th District, Budapest, Hungary"
13,node/2303512449,,"4th District, Budapest, Hungary"
14,node/2303513956,,"4th District, Budapest, Hungary"
15,node/2408680355,regional,"4th District, Budapest, Hungary"
16,node/2415896265,chicken,"4th District, Budapest, Hungary"
17,node/2415896266,italian;pizza,"4th District, Budapest, Hungary"
18,node/2430523782,italian,"4th District, Budapest, Hungary"
19,node/2430523784,,"4th District, Budapest, Hungary"
20,node/2432040656,,"4th District, Budapest, Hungary"
21,node/2939314750,,"4th District, Budapest, Hungary"
22,node/3254236842,regional;coffee_shop;breakfast;burger,"4th District, Budapest, Hungary"
23,node/3412534220,burger;langos,"4th District, Budapest, Hungary"
24,node/3419802998,regional,"4th District, Budapest, Hungary"
25,node/3459761263,regional,"4th District, Budapest, Hungary"
26,node/3459878228,chicken,"4th District, Budapest, Hungary"
27,node/3459910150,regional,"4th District, Budapest, Hungary"
28,node/3459930884,burger,"4th District, Budapest, Hungary"
